Time,HRR
0,-2.127972198
1,-3.641206046
2,-3.423352519
3,-2.361974
4,0.007126591
5,2.559040249
6,0.921209931
7,-0.96039105
8,-1.813659235
9,-0.092496599
10,2.626183131
11,3.547538302
12,1.427157272
13,-0.922316948
14,-2.30167906
15,-1.881504366
16,0.471644041
17,-0.301648502
18,-2.389134794
19,-3.360212231
20,-2.447781367
21,-0.659386472
22,1.887654704
23,1.432610675
24,-0.341457558
25,-1.634261461
26,-1.81714176
27,-0.145584471
28,2.091458773
29,0.837127171
30,-0.27041167
31,-0.672137508
32,-0.435764563
33,2.040642328
34,3.958492772
35,2.870159529
36,1.939923218
37,1.128625834
38,1.137082209
39,4.451778657
40,5.144742847
41,3.080969902
42,1.044565451
43,0.25663979
44,1.495332877
45,6.463501842
46,11.78649273
47,15.37834327
48,19.30843
49,25.62856165
50,36.43689466
51,48.956787
52,58.93710451
53,65.51249967
54,72.36600375
55,77.94662713
56,84.63523688
57,90.90816764
58,92.38420912
59,93.48621744
60,95.38753406
61,97.48458194
62,99.44096746
63,102.7752378
64,102.7604278
65,101.0381779
66,102.3212868
67,103.1873543
68,105.5380728
69,109.2623445
70,110.7786652
71,109.7992026
72,110.1457967
73,110.2565623
74,114.095798
75,117.4924117
76,115.6846246
77,112.7507066
78,114.2417518
79,115.9981568
80,120.1478159
81,119.7067896
82,119.8880421
83,116.9906629
84,118.6114288
85,119.1547695
86,121.5812965
87,123.8133312
88,121.2789181
89,120.9067461
90,123.2591226
91,123.0740664
92,124.6521625
93,123.3772321
94,120.6155283
95,120.1498138
96,119.2111314
97,118.1266964
98,120.6257496
99,118.666359
100,115.9366406
101,116.2513202
102,115.3642757
103,117.6176662
104,119.1057143
105,116.7048058
106,112.2271019
107,109.6872838
108,109.2367407
109,109.9516235
110,111.3089458
111,108.226145
112,107.0843768
113,105.6409595
114,105.0870473
115,106.6678438
116,106.9258075
117,103.4586361
118,102.1233856
119,99.64085906
120,99.80671536
121,104.336758
122,102.1937754
123,101.5915459
124,100.9419832
125,101.425471
126,104.4849906
127,106.5995894
128,105.7587139
129,100.7789019
130,98.96135587
131,99.16566412
132,100.5788066
133,100.9990549
134,98.88534392
135,96.16965516
136,94.07528173
137,93.23924984
138,93.64946932
139,95.46575238
140,93.06966306
141,89.62540054
142,88.74732958
143,89.50798176
144,89.38712395
145,90.15906295
146,90.067847
147,87.62937015
148,87.84354634
149,89.33260131
150,88.76274703
151,89.32985778
152,85.38305478
153,84.00594943
154,86.06832224
155,88.18525071
156,88.37554741
157,86.51129223
158,85.17525256
159,84.67864728
160,83.55916731
161,87.33277064
162,87.24208522
163,83.22655366
164,80.97387063
165,79.54705263
166,82.56920428
167,85.19607723
168,83.3462915
169,81.59083391
170,80.26315295
171,80.45893244
172,81.60149529
173,84.02792641
174,81.65651069
175,78.4752312
176,75.74423119
177,74.85855533
178,76.60420125
179,77.32032551
180,74.93445683
181,72.01095094
182,69.50905163
183,70.82225413
184,74.25750926
185,76.45126467
186,73.66533168
187,72.18511642
188,71.48950542
189,72.47399512
190,76.47045058
191,76.19809435
192,74.78559549
193,73.92077484
194,71.013441
195,71.18271657
196,75.88392615
197,75.77066204
198,73.93729513
199,71.59619236
200,71.90410451
201,72.52130057
202,73.57949728
203,72.41626463
204,70.92596554
205,69.70407467
206,68.85127436
207,71.80824725
208,75.45578052
209,75.91675716
210,74.4105447
211,72.70911593
212,73.93690144
213,75.62006326
214,75.90497193
215,74.67280767
216,72.31060748
217,70.01197885
218,69.99846345
219,70.95428022
220,68.86350139
221,68.58533229
222,65.77648884
223,65.2343687
224,66.59547772
225,69.89846378
226,69.83305501
227,69.26467602
228,68.42790531
229,70.60582357
230,71.44979161
231,72.65830938
232,70.21754806
233,66.62854671
234,65.21348034
235,65.65635669
236,67.54677705
237,69.64511103
238,70.38236985
239,68.42184296
240,68.3489518
241,67.39697473
242,68.35222605
243,70.61218002
244,67.27020167
245,65.31027855
246,65.15222266
247,65.77412895
248,68.43385212
249,70.61568481
250,68.07980499
251,67.3315866
252,65.50290089
253,66.73185597
254,68.08714061
255,67.94784673
256,66.76462369
257,65.58336233
258,64.10796611
259,66.2412138
260,72.45817008
261,72.04346357
262,71.08373111
263,69.47628316
264,68.89332844
265,70.60753041
266,71.36799018
267,70.90101887
268,66.98747762
269,65.0644623
270,64.65741368
271,65.97748014
272,68.21558218
273,65.84767415
274,65.48803159
275,63.98654985
276,64.37591302
277,66.79177654
278,69.41388488
279,67.86765143
280,65.20099395
281,63.71767421
282,65.19208588
283,67.869385
284,69.4137276
285,68.04514014
286,66.15613221
287,63.98913178
288,63.38277099
289,65.77106938
290,68.44979366
291,65.96733742
292,63.73065362
293,63.98102471
294,64.9984343
295,66.15761118
296,66.07635957
297,65.64856993
298,64.42047431
299,64.91343795
300,68.77237216
301,70.33372941
302,72.46145469
303,70.00167249
304,70.12752969
305,69.25142363
306,70.06500024
307,72.61681734
308,72.08153941
309,68.26847455
310,67.82755608
311,68.20102711
312,69.68088567
313,71.1326336
314,69.34343015
315,68.75131592
316,69.43628659
317,68.28868082
318,70.04063547
319,71.67681219
320,70.28382642
321,67.77905474
322,68.99666116
323,69.2981638
324,72.12431316
325,73.43917877
326,71.56201966
327,69.57826749
328,70.18068183
329,72.83258669
330,74.52321353
331,74.0778228
332,71.99257166
333,70.901196
334,71.37349124
335,73.01297933
336,75.23691526
337,73.05136109
338,71.03901183
339,69.753981
340,70.15170798
341,72.3197248
342,74.21591505
343,73.8052432
344,71.85250481
345,69.47902434
346,71.34494431
347,74.19127118
348,75.89343536
349,71.97038802
350,71.82382325
351,71.56817736
352,71.05386912
353,74.73044881
354,77.68615543
355,75.98080836
356,74.82140253
357,75.71935643
358,77.22976194
359,78.68776109
360,77.85384945
361,78.2249759
362,76.89971011
363,75.87689271
364,76.96716076
365,80.12791863
366,81.5696196
367,79.01287384
368,76.64802766
369,77.08145942
370,78.63954097
371,82.44553517
372,82.38983881
373,80.26601148
374,79.52574042
375,81.19067265
376,83.35034328
377,85.70245614
378,84.4619418
379,81.42349785
380,81.64903434
381,82.80877727
382,83.27094924
383,86.61319188
384,84.91294885
385,82.99634188
386,80.94762578
387,82.32599879
388,85.29445289
389,87.64741589
390,86.000251
391,85.17508895
392,83.80085619
393,85.62280096
394,89.4331216
395,91.16104386
396,89.75395999
397,88.82249168
398,88.01279539
399,89.4244247
400,92.78914071
401,93.6535717
402,91.59047432
403,90.38150528
404,88.59439218
405,91.15296523
406,93.88673183
407,93.05908332
408,92.19687744
409,91.27544493
410,91.30610996
411,94.88440154
412,97.02141774
413,97.35017279
414,97.29241029
415,95.30679758
416,96.60601823
417,98.9310367
418,100.1565025
419,98.60631253
420,99.12077955
421,97.59239441
422,99.06842073
423,102.6924238
424,104.0362231
425,101.4184765
426,101.4617328
427,100.5595036
428,101.744576
429,106.4170568
430,106.1547568
431,105.938334
432,104.153778
433,103.7689592
434,105.2807227
435,107.6779512
436,108.3434646
437,106.1783285
438,107.2158979
439,107.1735806
440,110.0993988
441,113.4343242
442,111.8726311
443,110.1419966
444,109.080618
445,112.8663465
446,114.8817392
447,117.3728641
448,116.6085625
449,114.2461162
450,112.9960339
451,116.6845872
452,117.3832287
453,117.5398802
454,115.5163778
455,114.2719833
456,112.6961202
457,114.2860229
458,119.4689255
459,121.2498444
460,122.3026188
461,122.1917337
462,121.5104685
463,124.1484327
464,126.022556
465,124.791006
466,123.7650764
467,123.1518589
468,124.8145581
469,124.7230236
470,127.604234
471,128.8189285
472,127.6650443
473,127.8886907
474,129.2702659
475,131.1510658
476,133.4675995
477,132.8406951
478,130.4780735
479,128.7693792
480,129.1833434
481,130.8520659
482,135.524084
483,134.1319639
484,134.4665784
485,134.2636326
486,135.943682
487,139.4423847
488,138.0617569
489,140.1303977
490,137.9967157
491,135.445265
492,135.2443088
493,138.2745417
494,138.5192389
495,138.4943551
496,134.6984752
497,135.4445906
498,136.3099983
499,140.8765826
500,139.0137722
501,137.4793984
502,134.5794038
503,131.6376031
504,134.1142227
505,136.7398792
506,139.5098779
507,136.3499451
508,137.7335683
509,136.4677823
510,140.2104876
511,139.8284049
512,139.2344792
513,136.8095231
514,136.2951947
515,136.8333217
516,140.4555171
517,139.4114022
518,141.0207952
519,142.4387766
520,140.037234
521,140.193021
522,142.8180987
523,145.8551973
524,144.6968899
525,143.5424757
526,143.0213561
527,143.4203611
528,146.7537552
529,149.3157753
530,148.3776047
531,144.9413372
532,142.4744981
533,146.2402741
534,148.1299544
535,149.1391763
536,142.1120822
537,144.7234596
538,141.342481
539,142.6687529
540,147.2166956
541,147.5267476
542,142.6017762
543,144.8517627
544,143.288777
545,142.9337237
546,146.4598482
547,146.8980947
548,140.5495887
549,140.7841087
550,142.3512931
551,142.9442541
552,146.8424099
553,143.0432281
554,143.0856743
555,143.5840527
556,140.8397111
557,145.2552345
558,144.5508796
559,141.3344685
560,140.6553925
561,138.6199672
562,140.4233429
563,141.5716736
564,144.579894
565,142.7168333
566,141.3973655
567,140.2076468
568,142.2345356
569,147.5840597
570,147.0929168
571,145.7006706
572,143.9776465
573,144.2993861
574,146.5467185
575,148.8931414
576,150.2563313
577,147.1936223
578,146.3146921
579,147.2755939
580,148.1692099
581,151.5102976
582,153.620597
583,148.8864052
584,150.3033036
585,148.9784487
586,147.9870252
587,149.1668493
588,150.6211395
589,149.3728371
590,148.5082652
591,148.1291078
592,151.5849029
593,152.4122405
594,152.0398608
595,152.7659231
596,150.3540259
597,150.35612
598,154.8692352
599,153.9341404
600,153.5086432
601,154.2382146
602,158.7363452
603,159.981035
604,163.1540569
605,160.4467243
606,160.2983296
607,155.565979
608,157.0708056
609,157.771393
610,160.7239481
611,163.303703
612,160.5310407
613,157.2157981
614,158.7233371
615,165.9325961
616,169.2064766
617,165.0459891
618,167.5558063
619,169.4852048
620,165.6193834
621,168.077447
622,170.750585
623,168.6985569
624,165.9270234
625,166.0344403
626,167.3428725
627,168.6726563
628,171.3314418
629,170.7013667
630,169.329622
631,170.9027251
632,172.4732429
633,176.7810596
634,178.4412801
635,178.3540162
636,177.8487665
637,175.4164666
638,179.8047653
639,178.9117006
640,177.8238476
641,178.9207171
642,175.5235078
643,175.6263114
644,177.6005255
645,177.067813
646,181.2314965
647,177.7188723
648,174.9003864
649,170.6397542
650,178.664661
651,177.4452979
652,177.6100798
653,173.4365089
654,174.2672495
655,175.392579
656,177.208536
657,178.9854979
658,182.2575521
659,180.6625028
660,178.6650372
661,179.5482235
662,185.3216069
663,182.94304
664,182.769644
665,181.9292984
666,181.5663252
667,182.1127221
668,183.8237101
669,182.8383811
670,184.3049973
671,177.2366503
672,178.9605836
673,179.7463388
674,183.2448514
675,182.9670162
676,180.5696743
677,180.8560005
678,178.9403594
679,179.9180537
680,184.2059088
681,184.9844358
682,182.6067601
683,181.0062577
684,181.652003
685,180.877407
686,188.1513152
687,184.8507165
688,180.5238943
689,180.2885813
690,181.8596405
691,186.405836
692,188.0406323
693,183.1372474
694,186.7877233
695,181.598243
696,183.727201
697,183.552668
698,186.53103
699,183.1088372
700,179.5379201
701,179.7927245
702,177.0507214
703,179.0776535
704,182.2909171
705,181.904381
706,179.3848066
707,181.0907587
708,181.935524
709,186.6625043
710,184.7521503
711,186.1248977
712,181.853257
713,182.5077
714,182.773399
715,187.5507221
716,184.1408178
717,178.0661685
718,179.3222492
719,182.4299827
720,182.5049848
721,185.0701556
722,184.6523427
723,177.7426369
724,175.9363424
725,179.7628091
726,182.0990362
727,182.0536031
728,184.198847
729,178.5744901
730,180.603086
731,184.1253755
732,184.5432132
733,186.721629
734,181.034126
735,181.0950377
736,181.8363707
737,182.146847
738,185.9482385
739,184.7251441
740,184.380289
741,179.5298168
742,181.2821002
743,183.5686189
744,186.1643131
745,186.3604251
746,187.1367686
747,184.6215876
748,182.0974481
749,185.0343626
750,186.5585182
751,184.838058
752,180.8071987
753,180.3036223
754,180.9868623
755,182.2647455
756,187.9675902
757,183.2812688
758,181.4027187
759,180.1980165
760,178.916486
761,183.6135169
762,188.0632983
763,182.8945619
764,181.5756079
765,183.347002
766,182.959168
767,186.1394808
768,191.8847442
769,186.7466942
770,185.4270569
771,183.1668811
772,186.7525235
773,189.1516135
774,190.2351757
775,187.6839989
776,183.3153722
777,181.5379528
778,185.5334916
779,186.7806114
780,187.7869178
781,189.7024328
782,188.1494018
783,183.4120463
784,185.2052323
785,188.7349794
786,187.290995
787,186.6085662
788,185.8705614
789,186.1283287
790,186.1115807
791,186.0357159
792,189.0344412
793,184.8848575
794,186.1681493
795,188.4684595
796,189.8697083
797,187.8898909
798,187.907465
799,181.5518733
800,184.1033484
801,185.2779007
802,191.3721879
803,190.521931
804,187.1734654
805,188.4120231
806,186.2291423
807,188.6495902
808,190.4577652
809,194.4652856
810,190.9950504
811,185.9831723
812,186.1571044
813,187.8748718
814,186.0402057
815,190.2579615
816,187.5634836
817,180.5707729
818,182.1812291
819,182.4290591
820,185.9533287
821,182.5074838
822,179.2124901
823,182.6830915
824,184.3489907
825,184.2984034
826,187.4669721
827,184.999815
828,180.9185428
829,181.2449157
830,185.6852006
831,184.6947708
832,189.7210811
833,184.915346
834,183.1090847
835,186.4703557
836,183.7095381
837,182.606638
838,188.0562345
839,187.2494287
840,187.2650227
841,184.1725881
842,185.9077967
843,185.4702225
844,187.7701908
845,184.3352241
846,177.7517812
847,180.7038526
848,186.6127887
849,188.1372292
850,187.6780074
851,185.0107832
852,181.115746
853,182.01453
854,180.9027249
855,184.5102667
856,181.53143
857,176.4388323
858,179.6409683
859,177.1159256
860,183.5308449
861,182.4279339
862,181.5284972
863,179.3330593
864,175.9359275
865,181.0504471
866,185.1127126
867,181.2883083
868,180.1905644
869,181.8474525
870,176.8192473
871,177.241183
872,180.1567211
873,179.8739949
874,181.5489881
875,179.8484387
876,178.5227612
877,177.0232127
878,180.9985628
879,178.3066644
880,175.7310389
881,172.7058515
882,175.5727196
883,175.468495
884,176.262605
885,177.5611412
886,173.9764877
887,173.4654621
888,174.1682742
889,172.1622362
890,175.7513533
891,175.2032836
892,169.6351232
893,175.6440822
894,174.4168486
895,173.6328334
896,171.2759441
897,171.5401177
898,173.7549775
899,170.2104876
900,168.1199377
901,173.0822884
902,173.8240748
903,168.8971464
904,170.063459
905,168.8106081
906,168.3878072
907,169.5136231
908,170.973076
909,169.3221844
910,165.9319892
911,165.0608093
912,165.9717308
913,166.1637663
914,170.0558396
915,165.76015
916,158.6098864
917,161.39351
918,162.3137444
919,166.5660658
920,170.246169
921,165.6751668
922,163.9242716
923,165.6780453
924,166.7225839
925,168.2159188
926,167.9268095
927,161.3927804
928,157.9022991
929,160.3174472
930,161.9149689
931,165.1931737
932,160.8731215
933,160.2610261
934,160.9735568
935,160.5624359
936,161.1442459
937,162.43475
938,160.0943502
939,153.7092377
940,158.0590378
941,157.1453791
942,158.3510963
943,157.2759768
944,159.0334567
945,154.7225723
946,151.3552676
947,152.2983065
948,158.1666756
949,157.2998058
950,151.6883957
951,149.746858
952,150.275398
953,150.1402402
954,154.1212274
955,153.0891058
956,149.2575422
957,148.4303789
958,145.8625837
959,147.3578092
960,149.765731
961,149.3189527
962,147.9083779
963,148.3439088
964,148.9102955
965,147.2098356
966,148.923233
967,147.1177983
968,143.7565661
969,139.6714029
970,141.8325092
971,144.1263811
972,144.2984161
973,142.7738671
974,142.3176068
975,140.2175283
976,140.5755653
977,143.9419177
978,142.4300032
979,140.5256607
980,139.994491
981,136.6886255
982,138.3179094
983,137.7190495
984,138.3700598
985,136.5993184
986,136.3377275
987,133.1008266
988,134.2906707
989,138.3781366
990,138.257356
991,136.1163116
992,133.7700629
993,135.7645399
994,135.1959921
995,138.4830592
996,136.872344
997,132.5893342
998,134.2868645
999,129.6100013
1000,133.3082606
1001,134.7032459
1002,131.7928397
1003,132.6146553
1004,130.3358144
1005,131.0587592
1006,133.3461313
1007,133.5876054
1008,130.856172
1009,129.2051775
1010,127.1071962
1011,128.4863433
1012,131.5318975
1013,132.140068
1014,129.9360295
1015,127.15297
1016,127.4947058
1017,127.2065886
1018,131.8628245
1019,129.6572718
1020,127.5228548
1021,123.2546558
1022,125.1253542
1023,126.9466984
1024,129.4497084
1025,129.4715322
1026,125.6688799
1027,123.8478192
1028,123.6738846
1029,125.6917925
1030,127.7286405
1031,124.8258405
1032,123.1810697
1033,121.6854313
1034,121.8169372
1035,124.9649321
1036,124.6769364
1037,122.8358969
1038,122.7619711
1039,124.8993566
1040,121.1505486
1041,125.8018835
1042,127.4373503
1043,125.1981038
1044,123.2726277
1045,121.9464504
1046,124.1093722
1047,124.8436893
1048,124.8112549
1049,122.7710765
1050,121.9526156
1051,121.1128293
1052,118.3991798
1053,122.5705774
1054,123.5179932
1055,119.7391884
1056,116.8067501
1057,116.9381799
1058,119.4581269
1059,119.6246524
1060,118.3015984
1061,116.3444008
