General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
MLR EOT mass (g/m�),150,31,20.94762578,131.191383,-0.00121419,0.04193272,1.000492,0.99868,106.613371,-0.0053,100.5089,0,277.458,328.122,330.308,1022.278,0,0
MLR EOT time period (s),60,32,20.94943887,128.43476,-0.00118395,0.04205762,1.00036,0.998702,106.613371,-0.0052,100.5097,0,277.464,328.114,330.351,1022.271,0,0
Truncate graphs at EOT?,No,33,20.95032406,131.493508,-0.00118691,0.04238063,1.000352,0.998699,106.613371,-0.0052,100.5088,0,277.46,328.161,330.414,1022.282,0,0
Smooth data?,No,34,20.9505607,125.201444,-0.00121144,0.04236558,0.999865,0.998765,106.613371,-0.0052,100.5096,0,277.454,328.148,330.31,1022.285,0,0
Correct O2 for pressure?,No,35,20.95048431,127.780916,-0.00123035,0.04208226,0.998711,0.998803,106.613371,-0.0052,100.5094,0,277.447,328.085,330.272,1022.287,0,0
,,36,20.95010244,124.10345,-0.00122779,0.04131927,1.000016,0.998892,106.613371,-0.0052,100.5095,0,277.46,328.124,330.309,1022.277,0,0
Specifications: apparatus,,37,20.94960621,124.616569,-0.00120313,0.04177766,0.999724,0.998974,106.613371,-0.0052,100.5103,0,277.459,328.159,330.361,1022.256,0,0
C-factor (SI units),0.04206,38,20.94994904,126.396281,-0.00118212,0.04221014,1.000735,0.999028,106.613371,0.0056,100.5104,0,277.452,328.112,330.271,1022.268,0,0
OD correction factor,0.99427,39,20.95043098,125.114307,-0.00114113,0.04242839,1.000443,0.999137,106.613371,0.0021,100.5098,0,277.441,328.085,330.287,1022.272,0,0
Duct diameter (m),0.114,40,20.95060714,130.590939,-0.00114612,0.04226082,1.000989,0.9992,106.613371,-0.0039,100.5096,0,277.441,328.167,330.431,1022.286,0,0
