General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,164,20.94773324,122.651815,-0.000774,0.04427445,1.009108,1.00844,105.937829,-0.0051,100.5094,0,277.395,330.815,335.234,1022.35,0,0
,,165,20.94770977,124.111189,-0.00067832,0.04434181,1.006741,1.008508,106.038402,-0.0052,100.5095,0,277.404,331.097,335.754,1022.345,0,0
,,166,20.94968087,127.343213,-0.0006387,0.04453567,1.008044,1.008543,106.004022,-0.0053,100.51,0,277.406,331.371,336.193,1022.333,0,0
,,167,20.950512,125.628049,-0.00059806,0.04474114,1.007815,1.008632,106.094069,-0.0052,100.5097,0,277.404,331.637,336.596,1022.359,0,0
,,168,20.95067499,127.455061,-0.00054214,0.04459771,1.007055,1.008686,106.163332,-0.0052,100.51,0,277.408,331.864,336.93,1022.366,0,0
,,169,20.95036933,124.187324,-0.00047185,0.04498606,1.008892,1.008749,105.936102,-0.0052,100.5106,0,277.385,332.008,337.127,1022.366,0,0
,,170,20.94838271,121.354034,-0.00033415,0.04568107,1.009113,1.00883,105.590663,-0.0053,100.5105,0,277.398,332.185,337.384,1022.385,0,0
,,171,20.9462246,122.274135,-0.00021429,0.04712296,1.008039,1.008874,105.777928,-0.0053,100.5104,0,277.412,332.374,337.678,1022.405,0,0
,,172,20.94332883,122.421521,-0.00012692,0.05027692,1.006707,1.008937,105.744518,-0.0054,100.5104,0,277.41,332.559,337.959,1022.404,0,0
,,173,20.93982909,125.920984,-0.00012281,0.05345374,1.007447,1.009001,105.711167,-0.0054,100.5097,0,277.398,332.723,338.206,1022.414,0,0
,,174,20.93346225,123.757028,-0.00020219,0.05631473,1.006767,1.009035,105.796646,-0.0051,100.5094,0,277.406,332.881,338.43,1022.408,0,0
,,175,20.9254735,126.093768,-0.00022505,0.05952965,1.007703,1.009102,105.642302,-0.0051,100.51,0,277.409,333.068,338.692,1022.41,0,0
,,176,20.9171459,123.003252,-0.00027031,0.06342703,1.006521,1.009166,105.539365,-0.0051,100.5101,0,277.404,333.259,338.941,1022.415,0,0
,,177,20.90760182,127.489707,-0.00032439,0.06729523,1.007412,1.009206,105.258101,-0.0053,100.5104,0,277.408,333.446,339.255,1022.391,0,0
,,178,20.89784591,128.771056,-0.00036684,0.07166087,1.007597,1.009258,105.286269,-0.0053,100.51,0,277.404,333.623,339.481,1022.427,0,0
,,179,20.88636386,125.622254,-0.00041702,0.07580621,1.00545,1.009313,105.4699,-0.0053,100.5103,0,277.412,333.805,339.744,1022.428,0,0
,,180,20.8772895,121.78435,-0.00050926,0.07910901,1.007177,1.009352,105.689104,-0.0051,100.5095,0,277.405,333.97,339.985,1022.419,0,0
,,181,20.87029774,124.77981,-0.00059293,0.08159651,1.004736,1.009437,105.315041,-0.0052,100.51,0,277.419,334.186,340.274,1022.427,0,0
,,182,20.86358887,128.540564,-0.00061991,0.08461943,1.001614,1.009483,105.401436,-0.0053,100.5097,0,277.414,334.363,340.565,1022.417,0,0
,,183,20.85769441,128.284017,-0.00063139,0.08795897,1.002439,1.009535,105.647984,-0.0053,100.5096,0,277.418,334.553,340.81,1022.407,0,0
,,184,20.85237649,121.770139,-0.00059364,0.09094183,1.003699,1.009602,105.205501,-0.0053,100.5098,0,277.397,334.742,341.066,1022.386,0,0
,,185,20.84715275,123.483435,-0.00059893,0.09342289,1.005658,1.009603,105.208116,-0.0052,100.5096,0,277.416,334.939,341.424,1022.204,0,0
,,186,20.84386461,120.597376,-0.00060999,0.09567151,1.0015,1.009645,105.080768,-0.0053,100.5096,0,277.426,335.133,341.671,1022.337,0,0
,,187,20.83979419,118.154944,-0.00060605,0.09799012,0.99924,1.009701,104.803861,-0.0053,100.5092,0,277.412,335.333,341.917,1022.388,0,0
,,188,20.83533471,119.742114,-0.00059199,0.10027978,0.997108,1.009723,105.024333,-0.0053,100.5088,0,277.424,335.505,342.227,1022.388,0,0
,,189,20.8316764,122.243034,-0.00050034,0.10255144,0.998377,1.009781,105.080886,-0.0053,100.5081,0,277.428,335.695,342.5,1022.375,0,0
,,190,20.82826574,116.605136,-0.00043845,0.10480739,0.997255,1.009823,104.95961,-0.0054,100.508,0,277.419,335.857,342.703,1022.353,0,0
,,191,20.82500998,123.351789,-0.00044214,0.10664333,0.999261,1.009868,104.722732,-0.0054,100.5088,0,277.419,336.009,342.902,1022.352,0,0
,,192,20.82219593,123.916459,-0.00045313,0.10829233,0.997485,1.009956,104.981686,-0.0054,100.5088,0,277.426,336.165,343.105,1022.376,0,0
,,193,20.81813577,120.670802,-0.00050056,0.11058943,0.994616,1.009952,104.707454,-0.0054,100.5081,0,277.424,336.291,343.278,1022.378,0,0
,,194,20.81507836,125.754138,-0.0004967,0.11267014,0.994787,1.009953,104.690069,-0.0054,100.5091,0,277.418,336.437,343.508,1022.366,0,0
,,195,20.81239132,118.739097,-0.00048372,0.11496385,0.994607,1.010092,104.855519,-0.0053,100.5087,0,277.424,336.575,343.596,1022.37,0,0
,,196,20.81036054,123.263926,-0.00050237,0.11707671,0.995324,1.010105,104.678246,-0.0053,100.5094,0,277.432,336.685,343.762,1022.38,0,0
,,197,20.80768181,117.170697,-0.00052397,0.11913479,0.994839,1.010127,104.609781,-0.0054,100.5092,0,277.429,336.798,343.916,1022.369,0,0
,,198,20.80471536,120.173125,-0.00053093,0.12122941,0.990397,1.010156,104.736173,-0.0055,100.5093,0,277.413,336.942,344.118,1022.396,0,0
,,199,20.80080201,119.668808,-0.0004604,0.12341981,0.99261,1.010162,104.580723,-0.0053,100.5093,0,277.415,337.077,344.321,1022.389,0,0
,,200,20.79789041,124.713598,-0.00042467,0.12566248,0.986517,1.010156,104.574008,-0.0053,100.5091,0,277.417,337.191,344.484,1022.383,0,0
,,201,20.79587804,122.660897,-0.0004067,0.12826405,0.987027,1.010211,104.355959,-0.0054,100.5097,0,277.426,337.288,344.585,1022.369,0,0
,,202,20.79232252,122.850395,-0.00042846,0.13149489,0.989972,1.010212,104.527353,-0.0056,100.5096,0,277.412,337.374,344.661,1022.364,0,0
,,203,20.78840107,123.137773,-0.00044904,0.13370027,0.988644,1.010233,104.307711,-0.0054,100.5094,0,277.402,337.429,344.675,1022.375,0,0
,,204,20.7843849,125.103882,-0.00039036,0.13591298,0.989041,1.010249,104.321582,-0.0054,100.5098,0,277.414,337.505,344.75,1022.375,0,0
,,205,20.77902621,126.014119,-0.00036131,0.13838628,0.987728,1.010223,104.29125,-0.0055,100.5099,0,277.402,337.592,344.847,1022.374,0,0
,,206,20.77487026,125.06914,-0.00027439,0.14072525,0.991536,1.010256,104.229634,-0.0053,100.5094,0,277.422,337.72,345.062,1022.384,0,0
,,207,20.77136506,122.364484,-0.00025661,0.14310597,0.989496,1.010238,104.032776,-0.0052,100.5089,0,277.418,337.843,345.245,1022.366,0,0
,,208,20.7681834,117.711951,-0.00020353,0.14554922,0.990223,1.010236,104.101268,-0.0054,100.5083,0,277.419,337.919,345.357,1022.351,0,0
,,209,20.7655778,126.020511,-0.00014981,0.1472973,0.986406,1.010266,104.126936,-0.0054,100.51,0,277.402,338.039,345.496,1022.342,0,0
,,210,20.76323614,122.740653,-0.0001023,0.1492095,0.987873,1.010261,104.118459,-0.0053,100.51,0,277.413,338.171,345.668,1022.332,0,0
,,211,20.76053125,122.492314,-5.431E-05,0.15112998,0.984632,1.010264,104.015331,-0.0053,100.5099,0,277.404,338.272,345.77,1022.321,0,0
,,212,20.75756681,123.728629,-1.821E-05,0.15312557,0.990116,1.010294,103.939519,-0.0053,100.5096,0,277.408,338.321,345.754,1022.33,0,0
,,213,20.75661044,124.423423,-2.534E-05,0.15467261,0.984347,1.010278,103.891427,-0.0054,100.5096,0,277.403,338.34,345.743,1022.341,0,0
,,214,20.75550271,120.542733,-4.894E-05,0.15594574,0.984467,1.010289,103.9489,-0.0055,100.5096,0,277.407,338.382,345.759,1022.341,0,0
,,215,20.75371993,121.762231,-9.2E-07,0.15722972,0.986807,1.010315,103.968068,-0.0054,100.5098,0,277.399,338.421,345.777,1022.357,0,0
,,216,20.75209032,116.928406,1.603E-05,0.15816215,0.983901,1.010304,103.786431,-0.0054,100.5094,0,277.409,338.472,345.821,1022.34,0,0
,,217,20.75055614,125.00663,3.617E-05,0.15955612,0.983586,1.010311,103.783264,-0.0053,100.5098,0,277.41,338.537,345.833,1022.341,0,0
,,218,20.7491643,123.949114,6.018E-05,0.16069817,0.988534,1.010314,103.693739,-0.0052,100.5092,0,277.407,338.597,345.894,1022.334,0,0
,,219,20.74900566,122.794537,6.106E-05,0.16235174,0.988094,1.010314,103.72904,-0.0051,100.5093,0,277.402,338.688,345.943,1022.326,0,0
,,220,20.74774953,122.259186,3.117E-05,0.16331601,0.988075,1.010319,103.636567,-0.0052,100.5095,0,277.406,338.738,345.963,1022.333,0,0
,,221,20.74733047,119.604429,5.994E-05,0.16434844,0.984048,1.010321,103.672206,-0.0052,100.5092,0,277.396,338.815,346.077,1022.335,0,0
,,222,20.74541386,128.033826,9.078E-05,0.16519548,0.98343,1.010298,103.618758,-0.0054,100.5093,0,277.393,338.868,346.123,1022.32,0,0
,,223,20.74447214,123.997509,0.00018247,0.16608123,0.982871,1.010327,103.486965,-0.0053,100.5093,0,277.417,338.946,346.212,1022.329,0,0
,,224,20.74325636,125.930598,0.00027462,0.16757226,0.989752,1.010284,103.313853,-0.0053,100.5091,0,277.412,339.02,346.304,1022.334,0,0
,,225,20.743327,121.620151,0.00027596,0.1686914,0.9851,1.010306,103.399434,-0.0054,100.5097,0,277.407,339.106,346.424,1022.343,0,0
,,226,20.74351801,122.613385,0.0003159,0.16927848,0.989599,1.010308,103.355435,-0.0052,100.5099,0,277.391,339.173,346.472,1022.345,0,0
,,227,20.74196629,127.569712,0.00026344,0.16996487,0.98779,1.010296,103.346293,-0.0054,100.5105,0,277.403,339.208,346.524,1022.362,0,0
,,228,20.74098444,121.42155,0.00025227,0.17037171,0.985485,1.01031,103.399031,-0.0055,100.5105,0,277.398,339.248,346.558,1022.343,0,0
,,229,20.74058764,122.127489,0.00023659,0.17118928,0.984395,1.010308,103.1204,-0.0055,100.51,0,277.391,339.314,346.645,1022.346,0,0
,,230,20.74101941,120.13597,0.00022585,0.17186299,0.986059,1.010301,103.171265,-0.0055,100.5096,0,277.399,339.357,346.562,1022.365,0,0
,,231,20.73990651,122.495375,0.00019811,0.17276879,0.983312,1.010322,103.078765,-0.0054,100.5096,0,277.392,339.314,346.436,1022.304,0,0
,,232,20.73966811,123.44208,0.00017541,0.17333969,0.984169,1.010317,102.998618,-0.0052,100.5098,0,277.39,339.323,346.404,1022.282,0,0
,,233,20.73943381,122.267254,0.00016861,0.17389133,0.989652,1.010291,102.924756,-0.0052,100.5105,0,277.379,339.366,346.478,1022.367,0,0
,,234,20.73885305,123.666707,0.00023509,0.17436222,0.991866,1.010314,102.710068,-0.0053,100.5098,0,277.394,339.445,346.533,1022.383,0,0
,,235,20.73750979,124.733791,0.00028803,0.17526029,0.991496,1.01031,102.931674,-0.0052,100.5092,0,277.388,339.513,346.565,1022.38,0,0
,,236,20.73728884,118.78058,0.00034998,0.1759381,0.992996,1.010318,102.993986,-0.0052,100.5088,0,277.383,339.564,346.513,1022.375,0,0
,,237,20.73758081,121.706005,0.00034493,0.1766544,0.992546,1.010337,102.843561,-0.0052,100.5092,0,277.383,339.56,346.49,1022.36,0,0
,,238,20.7363153,124.150685,0.00033272,0.17730231,0.990463,1.010319,102.776632,-0.0052,100.5089,0,277.409,339.558,346.479,1022.347,0,0
,,239,20.73549729,123.637619,0.00032698,0.17725079,0.988474,1.010342,102.790154,-0.0052,100.5094,0,277.396,339.554,346.376,1022.326,0,0
,,240,20.73488603,120.11808,0.00029126,0.17775465,0.985836,1.010343,102.606906,-0.0052,100.5089,0,277.381,339.541,346.329,1022.312,0,0
,,241,20.73490503,118.710969,0.00029647,0.17857473,0.993295,1.010342,102.673071,-0.0051,100.5097,0,277.376,339.538,346.271,1022.3,0,0
,,242,20.73534899,116.150704,0.00022501,0.17914437,0.994938,1.010364,102.780949,-0.0051,100.5099,0,277.377,339.57,346.275,1022.291,0,0
,,243,20.73569306,123.436132,0.00018609,0.17909701,0.992734,1.010364,102.829004,-0.0052,100.5101,0,277.382,339.615,346.324,1022.281,0,0
,,244,20.73566945,120.652985,0.0001102,0.17945366,0.994381,1.010329,102.588075,-0.0052,100.5099,0,277.386,339.628,346.309,1022.286,0,0
,,245,20.73535151,119.577234,9.245E-05,0.17951881,0.994958,1.010348,102.431566,-0.0053,100.5099,0,277.378,339.664,346.272,1022.284,0,0
,,246,20.73478826,119.259174,0.00011356,0.17952144,0.990933,1.010317,102.362302,-0.0053,100.5107,0,277.398,339.68,346.199,1022.279,0,0
,,247,20.7361879,125.019398,0.00019373,0.17963272,0.987764,1.010307,102.575874,-0.0053,100.5107,0,277.387,339.651,346.101,1022.278,0,0
,,248,20.73732626,124.174493,0.00020454,0.1799534,0.989785,1.010329,102.394341,-0.0053,100.51,0,277.401,339.645,346.047,1022.255,0,0
,,249,20.73767623,123.721271,0.00024797,0.17988351,0.997296,1.01029,102.473401,-0.0052,100.5094,0,277.399,339.644,345.996,1022.221,0,0
,,250,20.73763391,122.614131,0.0003092,0.17968533,0.99516,1.010302,102.337927,-0.0052,100.5091,0,277.386,339.63,345.976,1022.216,0,0
,,251,20.73720338,122.04916,0.00033094,0.17948174,0.992885,1.010307,102.467911,-0.0052,100.5086,0,277.383,339.678,346.018,1022.193,0,0
,,252,20.73823109,120.966836,0.00041569,0.17950867,0.998354,1.010285,102.260105,-0.0052,100.5094,0,277.389,339.686,346.09,1022.183,0,0
,,253,20.7391827,120.946043,0.00039032,0.17976589,0.996384,1.010262,102.362368,-0.0052,100.5087,0,277.396,339.73,346.11,1022.182,0,0
,,254,20.74099735,121.453432,0.00035596,0.18000636,0.996747,1.010231,102.177617,-0.0052,100.5089,0,277.379,339.742,346.09,1022.161,0,0
,,255,20.74297885,119.945183,0.00027249,0.17981428,0.994445,1.010196,101.983803,-0.0052,100.5086,0,277.384,339.752,346.061,1022.158,0,0
,,256,20.74345672,119.188613,0.00024323,0.17956704,0.992081,1.010212,102.115114,-0.0053,100.5089,0,277.388,339.738,345.997,1022.142,0,0
,,257,20.74301152,117.85246,0.00018502,0.17949139,0.99526,1.0102,102.239397,-0.0052,100.5093,0,277.397,339.738,345.968,1022.132,0,0
,,258,20.74412537,119.71432,0.00019559,0.17952702,0.998987,1.01018,102.18591,-0.0052,100.5089,0,277.401,339.741,345.886,1022.134,0,0
,,259,20.74497025,116.4582,0.00021883,0.17928679,0.998205,1.010214,102.072437,-0.0053,100.5088,0,277.398,339.767,345.926,1022.162,0,0
,,260,20.74534804,120.872018,0.0001631,0.17924806,0.999518,1.010185,101.959163,-0.0054,100.5088,0,277.388,339.838,346.007,1022.153,0,0
,,261,20.74609183,122.840235,0.0001042,0.17897955,0.995073,1.010198,101.722554,-0.0053,100.5083,0,277.392,339.862,346.05,1022.168,0,0
,,262,20.74705055,122.19393,9.171E-05,0.17875014,1.000222,1.010214,101.870121,-0.0052,100.5089,0,277.419,339.914,346.123,1022.168,0,0
,,263,20.74674162,127.182684,0.00016614,0.17870062,0.998237,1.010211,101.949385,-0.0052,100.5088,0,277.414,339.963,346.188,1022.156,0,0
,,264,20.74727804,118.591591,0.00020939,0.1788065,1.000067,1.010204,101.77654,-0.0053,100.5088,0,277.414,339.998,346.213,1022.188,0,0
,,265,20.74874042,122.547873,0.0002168,0.17913665,0.997759,1.010214,101.727754,-0.0053,100.5092,0,277.405,339.983,346.149,1022.195,0,0
,,266,20.74928332,123.893211,0.00019881,0.17863793,0.992028,1.010195,101.816374,-0.0051,100.5098,0,277.419,339.942,346.049,1022.22,0,0
,,267,20.75096877,127.005253,0.00011352,0.17817972,0.994872,1.010223,101.834756,-0.0051,100.5092,0,277.414,339.947,346.022,1022.234,0,0
,,268,20.7510702,123.456721,8.98E-05,0.17799322,0.999381,1.010225,101.711165,-0.0052,100.5091,0,277.426,339.964,346.092,1022.258,0,0
,,269,20.75053325,122.851229,3.577E-05,0.17791224,0.998886,1.010185,101.46452,-0.0051,100.5086,0,277.427,339.954,345.999,1022.251,0,0
,,270,20.75047622,128.278767,5.394E-05,0.17805221,0.991888,1.010198,101.515697,-0.0053,100.5087,0,277.404,339.914,345.893,1022.269,0,0
,,271,20.75224295,117.49317,5.841E-05,0.17834062,0.993589,1.010181,101.276759,-0.0054,100.5094,0,277.422,339.882,345.823,1022.291,0,0
,,272,20.75317945,122.022255,3.441E-05,0.17835629,0.998934,1.010181,101.440503,-0.0054,100.5094,0,277.436,339.856,345.731,1022.295,0,0
,,273,20.75330139,121.003856,1.631E-05,0.17810388,1.000581,1.010205,101.511769,-0.0054,100.5087,0,277.425,339.872,345.701,1022.293,0,0
,,274,20.75300262,123.555493,7.294E-05,0.17746171,1.000815,1.010182,101.564112,-0.0052,100.5096,0,277.428,339.879,345.67,1022.288,0,0
,,275,20.75233245,118.878316,0.00011066,0.17719763,0.999174,1.010186,101.21293,-0.0053,100.5088,0,277.417,339.85,345.625,1022.283,0,0
,,276,20.75250922,119.997534,0.00013754,0.17726554,1.001038,1.010217,100.994679,-0.0052,100.5087,0,277.424,339.86,345.67,1022.292,0,0
,,277,20.75419468,123.465485,0.000137,0.17756149,1.00099,1.010174,101.123251,-0.0052,100.5092,0,277.412,339.893,345.709,1022.312,0,0
,,278,20.75516132,125.449604,0.00011052,0.17756284,0.999074,1.010184,101.008649,-0.0053,100.5098,0,277.406,339.91,345.673,1022.314,0,0
,,279,20.75521832,123.37402,9.284E-05,0.17668404,1.000731,1.010167,101.065428,-0.0053,100.5101,0,277.416,339.928,345.696,1022.321,0,0
,,280,20.75489764,120.598059,9.393E-05,0.17636776,1.002062,1.010167,101.077517,-0.0051,100.5095,0,277.404,339.91,345.671,1022.336,0,0
,,281,20.75430497,121.0461,0.00011619,0.1763966,1.001229,1.010208,101.164284,-0.0051,100.5104,0,277.409,339.945,345.747,1022.352,0,0
,,282,20.75456702,119.817186,0.00014161,0.17604713,0.999411,1.0102,101.018324,-0.0051,100.51,0,277.405,339.972,345.799,1022.342,0,0
,,283,20.75661142,121.604965,6.167E-05,0.17610565,1.001929,1.010174,100.997814,-0.0051,100.5094,0,277.425,339.969,345.695,1022.346,0,0
,,284,20.75722518,123.187002,-3.564E-05,0.17595406,1.003307,1.010202,101.007264,-0.0052,100.5098,0,277.408,339.95,345.666,1022.345,0,0
,,285,20.75715703,120.097252,-0.00017476,0.17505194,1.000667,1.010166,100.628238,-0.0052,100.5101,0,277.409,339.961,345.653,1022.317,0,0
,,286,20.75805369,123.395298,-0.00021518,0.17480604,1.00435,1.010177,100.862408,-0.0051,100.5097,0,277.405,339.965,345.616,1022.306,0,0
,,287,20.75811859,123.859556,-0.00020336,0.17459127,1.002355,1.010166,100.723512,-0.0051,100.5105,0,277.416,339.97,345.647,1022.297,0,0
,,288,20.75856941,125.027046,-0.00017284,0.17430092,1.000623,1.010128,100.511818,-0.0051,100.5094,0,277.406,339.99,345.674,1022.293,0,0
,,289,20.75904377,122.534974,-0.0001286,0.17451591,0.999472,1.010142,100.402904,-0.005,100.5099,0,277.403,340.007,345.575,1022.296,0,0
,,290,20.75986872,121.557818,-0.00013507,0.17372725,1.002764,1.010137,100.468573,-0.0051,100.5099,0,277.401,339.995,345.614,1022.272,0,0
,,291,20.76078465,123.729178,-7.859E-05,0.17332772,1.004478,1.010123,100.721827,-0.005,100.5092,0,277.404,340.041,345.7,1022.249,0,0
,,292,20.76043605,121.428521,-5.571E-05,0.17322636,1.000628,1.010131,100.555647,-0.005,100.5095,0,277.407,340.075,345.689,1022.243,0,0
,,293,20.76017921,123.037371,-3.162E-05,0.17268226,0.999547,1.010117,100.570541,-0.005,100.5092,0,277.393,340.107,345.662,1022.006,0,0
,,294,20.7605786,122.466805,-1.848E-05,0.17284215,1.00184,1.010091,100.250298,-0.0051,100.5097,0,277.402,340.1,345.626,1022.171,0,0
,,295,20.76250498,119.096412,-8.56E-05,0.17293735,1.002746,1.010113,100.297874,-0.0051,100.5096,0,277.401,340.094,345.635,1022.009,0,0
,,296,20.76447605,124.0312,-0.00013012,0.17211512,1.004073,1.010069,100.338777,-0.0052,100.5096,0,277.427,340.072,345.545,1022.04,0,0
,,297,20.7647938,122.047536,-0.00014213,0.17175235,1.000008,1.010063,100.35628,-0.0052,100.5089,0,277.402,340.057,345.486,1022.051,0,0
,,298,20.7658517,119.515175,-0.00013581,0.17165589,1.000887,1.01007,100.177181,-0.0051,100.5094,0,277.412,340.071,345.536,1022.228,0,0
,,299,20.76736613,123.070862,-0.00010978,0.17174108,1.002828,1.010032,100.168377,-0.005,100.5089,0,277.398,340.094,345.538,1022.094,0,0
,,300,20.768489,123.42074,-0.00010012,0.17146897,1.001916,1.010023,100.091619,-0.0051,100.5094,0,277.408,340.071,345.44,1022.253,0,0
,,301,20.77019405,119.136508,-0.00012154,0.1713331,1.004093,1.010074,100.279101,-0.005,100.5089,0,277.429,340.054,345.402,1022.291,0,0
,,302,20.77084971,121.228283,-0.00020163,0.17108685,1.003218,1.010035,100.055155,-0.0052,100.509,0,277.433,340.06,345.423,1022.274,0,0
,,303,20.77062125,125.257959,-0.00021803,0.17091408,1.004522,1.010029,100.002391,-0.0052,100.5093,0,277.428,340.085,345.462,1022.294,0,0
,,304,20.77000533,120.770814,-0.00014787,0.17029966,1.002716,1.010002,99.927187,-0.0052,100.5095,0,277.417,340.101,345.468,1022.277,0,0
,,305,20.7716894,126.151311,-9.72E-05,0.1702964,1.00285,1.009956,99.891864,-0.0051,100.5096,0,277.407,340.108,345.554,1022.273,0,0
,,306,20.77254256,123.681807,-0.00010217,0.17060193,1.001498,1.009964,99.933962,-0.0053,100.5096,0,277.42,340.165,345.689,1022.274,0,0
,,307,20.7728659,117.057721,-0.00011386,0.17065683,1.004424,1.009906,99.952816,-0.0053,100.5096,0,277.42,340.236,345.776,1022.268,0,0
,,308,20.77286414,123.877565,-0.00013624,0.17035955,1.001765,1.009836,99.731313,-0.0053,100.5094,0,277.423,340.22,345.683,1022.239,0,0
,,309,20.77255001,125.777909,-0.0001924,0.17013544,1.004866,1.009778,99.794009,-0.0053,100.5098,0,277.418,340.213,345.624,1022.215,0,0
,,310,20.77195779,120.407721,-0.00020171,0.17010989,1.003231,1.009694,99.486069,-0.0053,100.5094,0,277.436,340.215,345.649,1022.181,0,0
,,311,20.77219158,117.604503,-0.00017189,0.17034298,1.006737,1.009655,99.51185,-0.0052,100.5084,0,277.423,340.203,345.541,1022.176,0,0
,,312,20.77395452,124.12686,-0.00012323,0.17013273,1.004954,1.009627,99.676069,-0.0052,100.5091,0,277.423,340.151,345.456,1022.173,0,0
,,313,20.77474918,117.848953,-0.00012991,0.16971359,1.002791,1.009549,99.68227,-0.0051,100.5087,0,277.438,340.126,345.38,1022.174,0,0
,,314,20.77476882,124.0911,-0.00014161,0.1694409,0.997045,1.009532,99.441147,-0.0052,100.5085,0,277.435,340.139,345.367,1022.147,0,0
,,315,20.77436831,121.378921,-0.00014448,0.16934048,1.003648,1.009487,99.294023,-0.0053,100.5089,0,277.439,340.116,345.282,1022.14,0,0
,,316,20.77388698,122.915556,-0.00018577,0.16870835,1.006596,1.009403,99.420303,-0.0052,100.5088,0,277.427,340.089,345.254,1022.164,0,0
,,317,20.77418294,123.500315,-0.00022309,0.16873275,1.005479,1.009342,99.229812,-0.0053,100.5094,0,277.429,340.098,345.194,1022.169,0,0
,,318,20.7746568,122.202609,-0.00025586,0.16904495,1.004241,1.009286,99.209187,-0.0053,100.5102,0,277.432,340.045,345.129,1022.154,0,0
,,319,20.77485796,120.239732,-0.0002805,0.1685197,1.005721,1.00922,99.075571,-0.0052,100.5102,0,277.436,340.029,345.117,1022.18,0,0
,,320,20.77633774,123.187677,-0.00035761,0.1679516,1.006657,1.009189,99.182378,-0.0054,100.5097,0,277.43,340.046,345.123,1022.192,0,0
,,321,20.77618515,123.864504,-0.00032907,0.16776315,1.004555,1.009129,99.124704,-0.0052,100.5094,0,277.415,340.075,345.243,1022.195,0,0
,,322,20.77584961,123.374457,-0.00026877,0.16725843,1.006569,1.009071,99.284026,-0.0052,100.5093,0,277.427,340.122,345.33,1022.193,0,0
,,323,20.77628776,122.14465,-0.0002045,0.16735312,1.005124,1.009005,99.051368,-0.0054,100.51,0,277.433,340.141,345.332,1022.207,0,0
,,324,20.77754784,122.478333,-0.00019623,0.16726317,1.006531,1.008909,98.823901,-0.0054,100.5099,0,277.436,340.127,345.312,1022.203,0,0
,,325,20.77859219,123.706372,-0.00021376,0.1665657,1.005381,1.008843,99.088324,-0.0052,100.5096,0,277.422,340.142,345.32,1022.208,0,0
,,326,20.78008713,122.184813,-0.00028325,0.16627144,1.003945,1.008766,99.180456,-0.0052,100.5096,0,277.418,340.153,345.309,1022.208,0,0
,,327,20.77991576,124.051458,-0.00030504,0.1655747,1.005994,1.008677,98.983652,-0.0053,100.5102,0,277.422,340.121,345.253,1022.207,0,0
,,328,20.77974197,120.302043,-0.00033639,0.16547902,1.003704,1.00862,98.980684,-0.0053,100.5108,0,277.423,340.104,345.259,1022.233,0,0
,,329,20.78024898,121.2182,-0.00032712,0.16548383,1.007121,1.008538,98.903915,-0.0053,100.5103,0,277.436,340.121,345.232,1022.219,0,0
,,330,20.7819364,125.550149,-0.00029023,0.1651852,1.006268,1.008426,98.96573,-0.0052,100.5101,0,277.45,340.081,345.121,1022.222,0,0
,,331,20.78260653,123.619087,-0.00029512,0.16482978,1.004959,1.008353,98.9207,-0.0051,100.5097,0,277.434,340.047,345.08,1022.235,0,0
,,332,20.78240539,122.730832,-0.00023858,0.16422119,1.007196,1.008236,98.803169,-0.0054,100.5102,0,277.439,340.032,344.976,1022.239,0,0
,,333,20.78179656,123.999982,-0.00024388,0.16391329,1.006385,1.008132,98.74009,-0.0053,100.5104,0,277.43,340,344.932,1022.257,0,0
,,334,20.78185007,122.090227,-0.00024702,0.16401067,1.006761,1.008035,98.665735,-0.0052,100.5098,0,277.43,340.011,344.969,1022.271,0,0
,,335,20.78233918,120.787511,-0.00025337,0.16410091,1.006977,1.007914,98.656173,-0.0052,100.5105,0,277.453,340.06,345.073,1022.272,0,0
,,336,20.78421619,125.470456,-0.00027135,0.16370921,1.006009,1.007796,98.515108,-0.0052,100.5091,0,277.432,340.11,345.119,1022.264,0,0
,,337,20.78466911,125.183083,-0.00029073,0.16336151,1.006198,1.007667,98.491405,-0.0051,100.5088,0,277.439,340.1,345.056,1022.266,0,0
,,338,20.78541378,125.232501,-0.00029736,0.16253612,1.008032,1.007519,98.418059,-0.0052,100.5088,0,277.437,340.073,345.005,1022.263,0,0
,,339,20.78550829,122.293919,-0.00022444,0.16230919,1.007112,1.007383,98.274036,-0.0053,100.509,0,277.445,340.044,344.923,1022.26,0,0
,,340,20.78581821,125.10205,-0.00017403,0.16206854,1.005602,1.007251,98.172037,-0.0052,100.508,0,277.438,340.017,344.9,1022.255,0,0
,,341,20.78633538,123.01396,-0.00018573,0.16206937,1.006916,1.007092,98.430097,-0.0053,100.5084,0,277.432,339.995,344.824,1022.246,0,0
,,342,20.78660032,121.805496,-0.00025451,0.16187613,1.006396,1.006955,98.436801,-0.0052,100.5089,0,277.437,339.97,344.793,1022.255,0,0
,,343,20.78655828,124.460933,-0.00029287,0.16104433,1.007531,1.006783,98.250174,-0.0055,100.5091,0,277.445,339.986,344.825,1022.224,0,0
