Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
t peak EHC (s),473,10,-0.410703409375692,-0.0223610602278387,0.0119296371365409,0.162363416666672,18.3669023378588,0.000153120276180066,0.00197456654998372,0.00273929373258873,26.540546130152,7.82003800692366E-05,24.6321233637244,24.7688904244132,1.93693664508239E-06,0.00021911048021294,9.68468322541193E-07,0.00010955524010647,2.486113120154E-05,0.000320597371491079,-0.00027593161092779,0.00129549314907959,0.273929373258873,106.680372
t peak MLR (s),1112,11,-0.0924666569842453,-0.0087006136132832,-3.43002600431302,0.0939479999999999,10.6276018099547,0.000281865103593854,0.00294888444303026,0.00273929373258873,26.1177206507887,-0.0132221796844847,24.2377049076194,24.371479645775,-0.000322244083053199,-0.0364529505716288,1.93693664508239E-06,0.00021911048021294,2.64806627524353E-05,0.000277041795653806,-0.00010690872043596,0.00129549314907959,0.249026702962611,106.462286
t peak SEA (s),591,12,-0.0531481194517766,-0.0798576842980493,-54.4287828352346,0.00588333333333561,0.665535444947467,0.00571236207653555,0.0515517919408281,0.00273929373258873,25.939706585985,-0.0132293272067469,24.073386065498,24.2055145619279,-0.000320222672347421,-0.0362242842021969,1.93693664508239E-06,0.00021911048021294,3.36077302169638E-05,0.000303296375918656,-7.79457751729164E-05,0.00129549314907959,0.228274477715727,106.50449
t peak COY (s),640,13,-0.363895053417329,-0.0299864114689078,-0.912229833191036,0.107276333333338,12.1353318250383,0.000337519120462009,0.00412722370789624,0.00273929373258873,26.8348559618981,-0.00390811711921079,24.9025352904721,25.0403630896761,-9.78606716620173E-05,-0.0110702117264725,1.93693664508239E-06,0.00021911048021294,3.62078136730577E-05,0.000442753426229534,-0.00022858791236,0.00129549314907959,0.210714902506825,106.413669
t peak CO2Y (s),640,14,-0.522123622707299,0,0,-0.128388416666673,-14.5235765460037,0,0,0.00273929373258873,26.2115470518357,-0.00446323159699756,24.3238126630914,24.4579195488363,-0.00010916135932719,-0.0123485700596369,1.93693664508239E-06,0.00021911048021294,1.7361465687777E-05,0.000434273578898021,-0.000320849081582099,0.00129549314907959,0.195663838042052,106.362036
,,15,-0.518979118650418,0,0,-0.099944500000003,-11.3059389140275,0,0,0.00273929373258873,26.2013043564721,-0.0113517843333818,24.3141592659327,24.4499200295039,-0.00027755021914336,-0.0313970836135022,1.93693664508239E-06,0.00021911048021294,6.49185189044544E-06,0.000353629335732171,-0.000335672157789236,0.00129549314907959,0.182619582172582,106.60997
Test Results (between 67 and 1112 s),,16,-0.356306183925778,-0.129691700061559,-13.7849781414598,0.0242864166666704,2.74733220211203,0.000213047623774611,0.0120472443259539,0.00273929373258873,26.1497740913844,-0.0137180287749429,24.267525105519,24.4049439155539,-0.000334787722884435,-0.0378719143534429,1.93693664508239E-06,0.00021911048021294,5.17416336083424E-06,0.000292584395385298,-0.000256718728546965,0.00129549314907959,0.171205858286795,106.534237
mean HRR (kW/m²),94.6837923276796,17,-0.0197533759588631,-0.00766181747010333,-15.3434480312132,0.0227909166666684,2.57815799396702,0.000404842500002205,0.0123935940861806,0.00273929373258873,25.8136467779127,-0.0145144469039797,23.955445907799,24.0926332069089,-0.000349691245458738,-0.0395578331966898,1.93693664508239E-06,0.00021911048021294,9.22673168067597E-06,0.000282461370018658,-7.20314140597856E-05,0.00129549314907959,0.161134925446396,106.591943
mean EHC (MJ/kg),24.9183278297074,18,-0.125206702904013,0,0,-0.0422244166666642,-4.77651772247332,0,0,0.00273929373258873,25.9876351814734,-0.0102558754969572,24.1190435746256,24.2576706082406,-0.000248783649604314,-0.0281429467878183,1.93693664508239E-06,0.00021911048021294,1.68210906804895E-05,0.000349588506148142,-0.000116944891489676,0.00129549314907959,0.152182985143818,106.509257
mean MLR (g/s),0.0336414248006379,19,0.271992461453562,0,0,-0.173988583333334,-19.6819664404224,0,0,0.00287528996331551,26.5262712764801,-0.010394061837103,24.6181238935538,24.7586478162355,-0.000257342916405008,-0.0291111896385755,1.93693664508239E-06,0.00021911048021294,1.85857958357527E-05,0.000661986893778688,0.000145347692235009,0.0013681669951971,0.151331050700816,106.683621
mean SEA (m²/kg),325.952847968847,20,0.387672373649655,0.0272223309715459,-2.35246189380692,0.125890166666662,14.2409690799392,0.000214210480485457,0.00619853259579168,0.00320512238086712,26.3311603695437,-0.0120489051030226,24.4388374362262,24.5791478442328,-0.000296151819888324,-0.0335013370914394,1.93693664508239E-06,0.00021911048021294,2.69669930900599E-05,0.000780334301572952,0.000230483666046934,0.00155608267433807,0.160256119043356,106.760968
mean COY (kg/kg),0.0310147319367202,21,0.997513307445596,0.208448579701305,-2.66996396800861,0.0423030833333324,4.78541666666656,0.000897169741593961,0.0154792638888257,0.00389771522141474,25.864769790407,-0.00467703436853923,24.0084545537606,24.1494287481449,-0.000112947708235663,-0.0127768900719076,1.93693664508239E-06,0.00021911048021294,3.79530463427936E-05,0.000654820590227636,0.000549668718838566,0.00194615886678082,0.185605486734035,106.517768
mean CO2Y (kg/kg),1.72405457374927,22,1.51825137857916,0,0,-0.0914246666666732,-10.3421568627458,0,0,0.00515559756442712,25.8006378964354,-0.00264673572151536,23.9490715111069,24.090499728317,-6.37611861800927E-05,-0.00721280386652632,1.93693664508239E-06,0.00021911048021294,5.60461044888576E-05,0.000828691718547324,0.00086709179446053,0.00265453912343037,0.234345343837596,106.693115
Total heat release (MJ/m²),98.9456942430476,23,1.97714627063346,0,0,-0.0122695000000057,-1.38795248868843,0,0,0.00690329638903342,26.118903385889,-0.00577790332256997,24.2463457024308,24.3878915530462,-0.000140910879634822,-0.0159401447550703,1.93693664508239E-06,0.00021911048021294,6.89099270439902E-05,0.000914861153533397,0.00113382489264077,0.00365499746698102,0.300143321262323,106.648434
Total oxygen consumed (g),63.5760797566606,24,2.56488310398775,0.239472826935864,-3.40323284250162,0.094681166666664,10.710539215686,0.000807055488315765,0.0104823576804957,0.00917431107634403,26.165957481423,-0.0131892587467814,24.2895077185123,24.4306417936484,-0.00032222205596636,-0.036450458819724,1.93693664508239E-06,0.00021911048021294,7.64129551984708E-05,0.000992481854606595,0.00146843821222016,0.00495612901941148,0.382262961514334,106.7092
Mass lost (g),35.10147,25,2.47810781593021,0.473572410333065,-4.61244207972008,0.0462579166666745,5.23279600301747,0.00156613021537982,0.0241472677739259,0.011695806536303,26.1397538684653,-0.00874244805720165,24.2629628976417,24.4052878504432,-0.000213361961353554,-0.0241359684789089,1.93693664508239E-06,0.00021911048021294,7.24459209922005E-05,0.00111700230041414,0.00143870336097655,0.00640969980600984,0.46783226145212,106.499214
Average specific MLR (g/s·m²),5.51493684012066,26,3.14378532301484,0,0,-0.0878793333333346,-9.94110105580708,0,0,0.0145067531057755,26.3251332553906,-0.00721590974736301,24.4354795729748,24.5774722112137,-0.000177348821294441,-0.0200620838568372,1.93693664508239E-06,0.00021911048021294,5.09302372824213E-05,0.00129574598261588,0.00181914591190288,0.00803862444244955,0.557952042529828,106.635529
Total smoke release (m²/m²),1298.81487039487,27,3.37540971238345,0.457303895193338,0.0682687038076408,0.0652489999999991,7.38110859728496,0.000449832202293438,0.0199985465843236,0.0177663506234747,26.1863157810198,0.000182200904968025,24.3058851670209,24.448092919881,4.45446465474469E-06,0.000503898716600078,4.16416897245473E-06,0.000471059838512979,2.93511013674441E-05,0.00130488516608051,0.00193873534405158,0.00991756507042679,0.658012986054618,106.614161
