s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.0194956E+002, 1.1060802E+000,-1.6496617E-001,-8.9702930E-001,-3.1105179E-002,-1.1813809E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5259004E-002, 1.2967759E-002, 3.0102407E-005, 3.0102407E-005
 1.0294868E+002, 1.0690168E+000,-1.5250516E-001,-9.3895390E-001,-2.8135502E-002,-1.1763752E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5844527E-002,-5.0589557E-002, 2.9955422E-005, 2.9955422E-005
 1.0396496E+002, 1.0522274E+000,-1.4233424E-001,-8.3029150E-001,-3.2258934E-002,-1.2042239E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3487521E-002, 4.7330676E-002, 2.9806197E-005, 2.9806197E-005
 1.0494624E+002, 1.0542012E+000,-1.3083947E-001,-8.9999746E-001,-3.2440450E-002,-1.1912271E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4943184E-003,-9.0880664E-003, 2.9659416E-005, 2.9659416E-005
 1.0594759E+002, 1.0681313E+000,-1.3919848E-001,-9.2907525E-001,-2.7662303E-002,-1.1820300E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4039314E-002,-2.7816548E-002, 2.9512363E-005, 2.9512363E-005
 1.0694625E+002, 1.0331191E+000,-1.3184815E-001,-8.6212046E-001,-2.5697513E-002,-1.1788180E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9101263E-002, 1.3441240E-002, 2.9365620E-005, 2.9365620E-005
 1.0796539E+002, 1.0331228E+000,-1.2957123E-001,-8.9110325E-001,-3.0626649E-002,-1.1713109E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2998887E-002,-1.8190053E-002, 2.9215497E-005, 2.9215497E-005
 1.0894164E+002, 1.0346062E+000,-1.6044415E-001,-8.5820972E-001,-3.1695417E-002,-1.2027964E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9159218E-003,-1.5755079E-002, 2.9067361E-005, 2.9067361E-005
 1.0994762E+002, 1.0192964E+000,-1.2605997E-001,-8.7612693E-001,-2.9909380E-002,-1.1870297E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3740440E-003,-1.2811770E-002, 2.8921432E-005, 2.8921432E-005
 1.1094222E+002, 1.0231066E+000,-1.4527703E-001,-8.3410124E-001,-2.6828849E-002,-1.1854370E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6556907E-002, 1.6887634E-002, 2.8773367E-005, 2.8773367E-005
 1.1194548E+002, 1.0348618E+000,-1.4020495E-001,-8.3453440E-001,-2.9601268E-002,-1.1584510E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6340912E-002, 3.0509593E-002, 2.8625329E-005, 2.8625329E-005
 1.1294035E+002, 1.0113199E+000,-1.4024567E-001,-8.8984785E-001,-2.7978427E-002,-1.1232316E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2616748E-002,-4.6763286E-002, 2.8478286E-005, 2.8478286E-005
 1.1394186E+002, 1.0334615E+000,-1.5270138E-001,-8.7469211E-001,-2.8612191E-002,-1.1461511E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7313027E-002,-2.2555641E-002, 2.8330305E-005, 2.8330305E-005
 1.1494753E+002, 9.5832476E-001,-1.2151473E-001,-7.9971682E-001,-2.6237768E-002,-1.1250509E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2561108E-002, 1.0844192E-002, 2.8180640E-005, 2.8180640E-005
 1.1593623E+002, 1.0059371E+000,-1.2117142E-001,-8.6185013E-001,-2.6047939E-002,-1.1243132E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1821989E-003,-3.1436334E-003, 2.8033196E-005, 2.8033196E-005
 1.1693928E+002, 1.0205945E+000,-1.4150242E-001,-8.5338096E-001,-2.7272514E-002,-1.1284475E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7522024E-003,-1.5726452E-003, 2.7885752E-005, 2.7885752E-005
 1.1794875E+002, 1.0001925E+000,-1.3974936E-001,-8.6240045E-001,-2.8133116E-002,-1.1241244E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9651497E-002,-3.0101712E-002, 2.7738751E-005, 2.7738751E-005
 1.1894598E+002, 9.7559029E-001,-1.2206625E-001,-7.9587399E-001,-2.7065812E-002,-1.1073455E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9665098E-002, 3.0573165E-002, 2.7591390E-005, 2.7591390E-005
 1.1994200E+002, 9.6564813E-001,-1.1250695E-001,-8.3120984E-001,-2.8319822E-002,-1.1441836E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0595892E-003,-6.3999197E-003, 2.7442420E-005, 2.7442420E-005
 1.2093311E+002, 9.8514668E-001,-1.0961286E-001,-8.6128934E-001,-3.1331827E-002,-1.1281078E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9984445E-003,-1.7098632E-002, 2.7295186E-005, 2.7295186E-005
 1.2193861E+002, 1.0014784E+000,-1.2665409E-001,-8.2570138E-001,-2.7901710E-002,-1.1121841E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9886238E-002, 2.1210138E-002, 2.7146723E-005, 2.7146723E-005
 1.2293739E+002, 9.4601771E-001,-1.2422311E-001,-8.4839795E-001,-2.9814146E-002,-1.0951457E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7823787E-002,-5.6428439E-002, 2.7001157E-005, 2.7001157E-005
 1.2394194E+002, 9.4505610E-001,-1.0721056E-001,-7.8345351E-001,-2.7802210E-002,-1.1160679E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4637511E-002, 2.6578654E-002, 2.6851541E-005, 2.6851541E-005
 1.2493288E+002, 9.5340589E-001,-1.1310756E-001,-8.4952636E-001,-2.8253607E-002,-1.1118409E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8696068E-002,-3.7492756E-002, 2.6704775E-005, 2.6704775E-005
 1.2595478E+002, 9.3025401E-001,-1.0747841E-001,-8.1043950E-001,-2.4755288E-002,-1.1049259E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6141045E-003,-1.2430241E-002, 2.6555270E-005, 2.6555270E-005
 1.2694572E+002, 9.3496029E-001,-1.1749974E-001,-7.8512614E-001,-2.4033386E-002,-1.0846018E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3419975E-002, 8.2901785E-003, 2.6407054E-005, 2.6407054E-005
 1.2793776E+002, 9.5922763E-001,-1.1720333E-001,-8.0149328E-001,-2.7104587E-002,-1.0625987E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8690692E-002, 1.3415815E-002, 2.6259574E-005, 2.6259574E-005
 1.2895251E+002, 9.2525861E-001,-1.1429258E-001,-7.8954635E-001,-2.5475177E-002,-1.0617708E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2687615E-003,-4.0661210E-003, 2.6111609E-005, 2.6111609E-005
 1.2995543E+002, 8.9362173E-001,-1.0474383E-001,-7.9536081E-001,-2.9934702E-002,-1.0724129E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5385745E-002,-3.6428339E-002, 2.5962243E-005, 2.5962243E-005
 1.3094107E+002, 9.1934120E-001,-9.7907009E-002,-7.9656100E-001,-2.5344859E-002,-1.0606844E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7845258E-003,-4.8227639E-004, 2.5816473E-005, 2.5816473E-005
 1.3192902E+002, 8.9285673E-001,-1.0196229E-001,-7.6849417E-001,-2.3684984E-002,-1.0707898E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3203056E-003,-1.2954151E-003, 2.5668201E-005, 2.5668201E-005
 1.3294081E+002, 9.2381973E-001,-1.0768092E-001,-7.9206192E-001,-2.8887262E-002,-1.0405913E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9950041E-004,-4.8207798E-003, 2.5521976E-005, 2.5521976E-005
 1.3393683E+002, 9.0303874E-001,-1.1143877E-001,-7.7452085E-001,-2.2596064E-002,-1.0373791E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7717477E-004,-5.5273199E-003, 2.5376535E-005, 2.5376535E-005
 1.3493761E+002, 8.7510509E-001,-9.9348220E-002,-7.6927187E-001,-2.2419533E-002,-1.0319155E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4286580E-002,-1.5944853E-002, 2.5236017E-005, 2.5236017E-005
 1.3594202E+002, 8.9739781E-001,-1.0342556E-001,-7.8280439E-001,-1.7767949E-002,-1.0371943E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7014389E-003,-6.6104575E-003, 2.5096936E-005, 2.5096936E-005
 1.3695511E+002, 8.6367860E-001,-9.2012955E-002,-7.6061487E-001,-2.1166744E-002,-1.0249578E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4364742E-003,-1.0126220E-002, 2.4953302E-005, 2.4953302E-005
 1.3792979E+002, 8.8778781E-001,-9.7759119E-002,-7.6489441E-001,-2.0987050E-002,-1.0371011E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2068320E-003, 4.1368559E-003, 2.4814810E-005, 2.4814810E-005
